,Province/State,Country/Region,Lat,Long,Day,Confirmed,Recovered,Deaths,Province/State_Country/Region
0,,Thailand,15.0,101.0,2020-01-23,3,0,0,Thailand
1,,Japan,36.0,138.0,2020-01-23,1,0,0,Japan
2,,Singapore,1.2833,103.8333,2020-01-23,1,0,0,Singapore
156,Hubei,China,30.9756,112.2707,2020-01-23,444,28,17,Hubei - China
158,,"Korea, South",36.0,128.0,2020-01-23,1,0,0,"Korea, South"
160,Guangdong,China,23.3417,113.4244,2020-01-23,32,2,0,Guangdong - China
161,Henan,China,33.882,113.61399999999999,2020-01-23,5,0,0,Henan - China
162,Zhejiang,China,29.1832,120.0934,2020-01-23,27,0,0,Zhejiang - China
163,Hunan,China,27.6104,111.7088,2020-01-23,9,0,0,Hunan - China
164,Anhui,China,31.8257,117.2264,2020-01-23,9,0,0,Anhui - China
165,Jiangxi,China,27.614,115.7221,2020-01-23,7,0,0,Jiangxi - China
166,Shandong,China,36.3427,118.1498,2020-01-23,6,0,0,Shandong - China
168,Jiangsu,China,32.9711,119.455,2020-01-23,5,0,0,Jiangsu - China
169,Chongqing,China,30.0572,107.874,2020-01-23,9,0,0,Chongqing - China
170,Sichuan,China,30.6171,102.7103,2020-01-23,8,0,0,Sichuan - China
171,Heilongjiang,China,47.861999999999995,127.7615,2020-01-23,2,0,0,Heilongjiang - China
173,Beijing,China,40.1824,116.4142,2020-01-23,22,0,0,Beijing - China
174,Shanghai,China,31.201999999999998,121.4491,2020-01-23,16,0,0,Shanghai - China
175,Hebei,China,39.549,116.1306,2020-01-23,1,0,1,Hebei - China
176,Fujian,China,26.0789,117.9874,2020-01-23,5,0,0,Fujian - China
177,Guangxi,China,23.8298,108.7881,2020-01-23,5,0,0,Guangxi - China
178,Shaanxi,China,35.1917,108.8701,2020-01-23,3,0,0,Shaanxi - China
179,Yunnan,China,24.974,101.48700000000001,2020-01-23,2,0,0,Yunnan - China
180,Hainan,China,19.1959,109.7453,2020-01-23,5,0,0,Hainan - China
181,Guizhou,China,26.8154,106.8748,2020-01-23,3,0,0,Guizhou - China
182,Tianjin,China,39.3054,117.323,2020-01-23,4,0,0,Tianjin - China
183,Shanxi,China,37.5777,112.2922,2020-01-23,1,0,0,Shanxi - China
184,Gansu,China,37.8099,101.0583,2020-01-23,2,0,0,Gansu - China
185,Hong Kong,China,22.3,114.2,2020-01-23,2,0,0,Hong Kong - China
186,Liaoning,China,41.2956,122.6085,2020-01-23,3,0,0,Liaoning - China
187,Jilin,China,43.6661,126.1923,2020-01-23,1,0,0,Jilin - China
189,Xinjiang,China,41.1129,85.2401,2020-01-23,2,0,0,Xinjiang - China
191,Ningxia,China,37.2692,106.1655,2020-01-23,1,0,0,Ningxia - China
192,,Taiwan*,23.7,121.0,2020-01-23,1,0,0,Taiwan*
193,,Vietnam,16.0,108.0,2020-01-23,2,0,0,Vietnam
196,Macau,China,22.1667,113.55,2020-01-23,2,0,0,Macau - China
